Raw Input (OMIT FROM MAP),Date,Type of Beacon,Type of Rescue,Beacon Description,Latitude,Longitude,# Saves,Homeport,Description
"Home Port - Barrow, AK
On 04 January 2017 at 0140 UTC (1640 AKST, the day prior) the COSPAS-SARSAT system detected a 406 MHz PLB at 71 08.2N, 156 44.33W, 9NM South of Barrow, AK. The owner activated the beacon when he became stranded because his snow machine broke down. The Alaska Rescue Coordination Center received the SARSAT alert and contacted the North Slope Borough Search and Rescue (NSB). The NSB launched a helicopter and rescued the individual. No injuries were reported. 
1 SARSAT RESCUE",01/04/2017,PLB,T,PLB (Personal Locator Beacon),71.13666667,-156.7388333,1,"Home Port - Barrow, AK","On 04 January 2017 at 0140 UTC (1640 AKST, the day prior) the COSPAS-SARSAT system detected a 406 MHz PLB at 71 08.2N, 156 44.33W, 9NM South of Barrow, AK. The owner activated the beacon when he became stranded because his snow machine broke down. The Alaska Rescue Coordination Center received the SARSAT alert and contacted the North Slope Borough Search and Rescue (NSB). The NSB launched a helicopter and rescued the individual. No injuries were reported. "
"Home Port - Tallahassee, FL
On 08 January 2017 at 1907 UTC (1407 EST) the COSPAS-SARSAT system detected a 406 MHz PLB at 22 46.6N 73 37.0W, 13 NM east of Acklins Island, Bahamas. A vessel had run aground on a reef and the owner activated the PLB. Coast Guard district 07 (CGD07) received the SARSAT alert and contacted Bahamian search and rescue, who were unable to offer support. CGD07 then ordered the launch of helicopter and broadcast an Enhanced Group Call. The helicopter located the vessel, which had also lost propulsion and the rudder. Both people on the vessel were taken onboard the helicopter and transported to Great Inagua, BS without injury. 
2 SARSAT RESCUES",01/08/2017,PLB,M,PLB (Personal Locator Beacon),22.77666667,-73.61666667,2,"Home Port - Tallahassee, FL","On 08 January 2017 at 1907 UTC (1407 EST) the COSPAS-SARSAT system detected a 406 MHz PLB at 22 46.6N 73 37.0W, 13 NM east of Acklins Island, Bahamas. A vessel had run aground on a reef and the owner activated the PLB. Coast Guard district 07 (CGD07) received the SARSAT alert and contacted Bahamian search and rescue, who were unable to offer support. CGD07 then ordered the launch of helicopter and broadcast an Enhanced Group Call. The helicopter located the vessel, which had also lost propulsion and the rudder. Both people on the vessel were taken onboard the helicopter and transported to Great Inagua, BS without injury. "
"Home Port - Saint Augustine, FL
On January 19, 2017 at 1103 UTC (0703 AST) the COSPAS-SARSAT system detected a 406 MHz PLB at 31 02.20N 068 51.54W, 216 NM southwest of Bermuda. While aboard the 75-foot catamaran NINAH in a heavy storm, the owner activated his beacon when a rogue wave crashed over the stern, breaking the rudder and causing electrical and engine failure. The Coast Guard District 5 received the SARSAT alert and launched a C-130 from Air Station Elizabeth City and diverted the AMVER vessel HERCULES LEADER. Both assets arrived on scene and found the six member crew from the NINAH had abandoned their sinking vessel and were in their life raft.  The crew of the HERCULES LEADER rescued all 6 NINAH crew members and transferred them safely to Bermuda.
6 SARSAT RESCUES
",01/19/2017,PLB,M,PLB (Personal Locator Beacon),31.03666667,-68.859,6,"Home Port - Saint Augustine, FL","On January 19, 2017 at 1103 UTC (0703 AST) the COSPAS-SARSAT system detected a 406 MHz PLB at 31 02.20N 068 51.54W, 216 NM southwest of Bermuda. While aboard the 75-foot catamaran NINAH in a heavy storm, the owner activated his beacon when a rogue wave crashed over the stern, breaking the rudder and causing electrical and engine failure. The Coast Guard District 5 received the SARSAT alert and launched a C-130 from Air Station Elizabeth City and diverted the AMVER vessel HERCULES LEADER. Both assets arrived on scene and found the six member crew from the NINAH had abandoned their sinking vessel and were in their life raft.  The crew of the HERCULES LEADER rescued all 6 NINAH crew members and transferred them safely to Bermuda."
"Home Port - Austria
On 05 February 2017 at 1302 UTC (0902 AST) the COSPAS-SARSAT system detected a 406 MHz EPIRB at 19 43.2N 64 18.7W, approximately 120 NM northeast of San Juan, Puerto Rico. The EPIRB was activated when the Austrian-flagged sailing vessel DAPHNI broke apart and sank. The San Juan Coast Guard Rescue Coordination Center (SANJN) received the SARSAT alert and contacted the Vienna Rescue Coordination Center, which provided a satellite phone number for the owner. The SANJN contacted the owner, who stated that he was the only person on board and had abandoned ship to his life raft. The SANJN diverted a helicopter to the SARSAT position. The helicopter located the individual and hoisted him from the life raft. 
1 SARSAT RESCUE",02/05/2017,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",19.72,-64.31166667,1,Home Port - Austria,"On 05 February 2017 at 1302 UTC (0902 AST) the COSPAS-SARSAT system detected a 406 MHz EPIRB at 19 43.2N 64 18.7W, approximately 120 NM northeast of San Juan, Puerto Rico. The EPIRB was activated when the Austrian-flagged sailing vessel DAPHNI broke apart and sank. The San Juan Coast Guard Rescue Coordination Center (SANJN) received the SARSAT alert and contacted the Vienna Rescue Coordination Center, which provided a satellite phone number for the owner. The SANJN contacted the owner, who stated that he was the only person on board and had abandoned ship to his life raft. The SANJN diverted a helicopter to the SARSAT position. The helicopter located the individual and hoisted him from the life raft. "
"Home Port - Saint Petersburg, FL
On 07 February 2017 at 0737 UTC (0237 EST) the COSPAS-SARSAT system detected a 406 MHz EPIRB at 22 13.1N 074 28.9W, 199 NM southeast of the Bahamas. The EPIRB was activated when the sailing vessel MERRY THOUGHT, which was participating in a race from Florida to Jamaica, experienced a crack in its hull 1 foot above and 1 foot below the water line. Coast Guard District Seven (CGD07) received the SARSAT alert and contacted Operation Bahamas, Turks and Caicos (OPBAT). OPBAT launched a USCG MH-60 helicopter to the SARSAT coordinates and located the vessel. The helicopter provided a P-6 pump that slowed the flooding, enabling the crew to make temporary repairs at sea and continued to port to repair the vessel. 
8 SARSAT RESCUES
",02/07/2017,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",22.21833333,-74.48166667,8,"Home Port - Saint Petersburg, FL","On 07 February 2017 at 0737 UTC (0237 EST) the COSPAS-SARSAT system detected a 406 MHz EPIRB at 22 13.1N 074 28.9W, 199 NM southeast of the Bahamas. The EPIRB was activated when the sailing vessel MERRY THOUGHT, which was participating in a race from Florida to Jamaica, experienced a crack in its hull 1 foot above and 1 foot below the water line. Coast Guard District Seven (CGD07) received the SARSAT alert and contacted Operation Bahamas, Turks and Caicos (OPBAT). OPBAT launched a USCG MH-60 helicopter to the SARSAT coordinates and located the vessel. The helicopter provided a P-6 pump that slowed the flooding, enabling the crew to make temporary repairs at sea and continued to port to repair the vessel. "
"Home Port - Barrow, AK
On 14 February 2017 at 2359 UTC (1459 AKST) the COSPAS-SARSAT system detected a 406 MHz PLB at 71 10N 156 53W, 9 NM south of Barrow, AK. An individual on a snowmobile ran out of gas and activated his PLB. The Alaska Rescue Coordination Center received the SARSAT alert and contacted North Slope Borough Search and Rescue (NSBSAR). NSBSAR dispatched a ground team from Barrow and rescued the individual. No injuries were reported.
1 SARSAT RESCUE
",02/14/2017,PLB,T,PLB (Personal Locator Beacon),71.16666667,-156.8833333,1,"Home Port - Barrow, AK","On 14 February 2017 at 2359 UTC (1459 AKST) the COSPAS-SARSAT system detected a 406 MHz PLB at 71 10N 156 53W, 9 NM south of Barrow, AK. An individual on a snowmobile ran out of gas and activated his PLB. The Alaska Rescue Coordination Center received the SARSAT alert and contacted North Slope Borough Search and Rescue (NSBSAR). NSBSAR dispatched a ground team from Barrow and rescued the individual. No injuries were reported."
"Home Port - Las Vegas, NV
On 19 February 2017 at 2212 UTC (1422 PST) the COSPAS-SARSAT system detected a 406 MHz PLB at 36 09.8N 115 26.9W, in Red Rock Canyon National Conservation Area, NV.  A hiker activated the PLB because they sustained an injury. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the Las Vegas Metropolitan Police Department, which arrived on scene and rescued the hiker. 
1 SARSAT RESCUE",02/19/2017,PLB,T,PLB (Personal Locator Beacon),36.16333333,-115.4483333,1,"Home Port - Las Vegas, NV","On 19 February 2017 at 2212 UTC (1422 PST) the COSPAS-SARSAT system detected a 406 MHz PLB at 36 09.8N 115 26.9W, in Red Rock Canyon National Conservation Area, NV.  A hiker activated the PLB because they sustained an injury. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the Las Vegas Metropolitan Police Department, which arrived on scene and rescued the hiker. "
"Home Port - Edinburg, TX 
On 24 February 2017 at 1135 UTC (0535 CST) the COSPAS-SARSAT system detected a 406 MHz PLB at 27 44.12N 097 07.54W, 15 NM east of Corpus Christi, TX. The PLB was manually activated by a boater who was stranded when his boat ran out of gas. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the Texas Department of Emergency Management, which contacted Coast Guard Sector Corpus Christi (CGCC). CGCC arrived on scene and provided fuel to the boater. There were no injuries or illness to report. 
1 SARSAT RESCUE",02/24/2017,PLB,M,PLB (Personal Locator Beacon),27.73533333,-97.12566667,1,"Home Port - Edinburg, TX ","On 24 February 2017 at 1135 UTC (0535 CST) the COSPAS-SARSAT system detected a 406 MHz PLB at 27 44.12N 097 07.54W, 15 NM east of Corpus Christi, TX. The PLB was manually activated by a boater who was stranded when his boat ran out of gas. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the Texas Department of Emergency Management, which contacted Coast Guard Sector Corpus Christi (CGCC). CGCC arrived on scene and provided fuel to the boater. There were no injuries or illness to report. "
"Home Port - Great Britain
On 25 February 2017 at 0731 UTC (0231 CST) the COSPAS-SARSAT system detected a 406 MHz PLB at 21 25.8N 076 50.9W, in the vicinity of Manati, Cuba. The PLB was activated manually when the sailing vessel SERAFIN became disabled. The Coast Guard District 7 Rescue Coordination Center (CGD07) received the SARSAT alert and notified the Maritime Rescue Coordination Center (MRCC) Falmouth of the PLB location. MRCC Falmouth provided beacon registration corresponding to the British-flagged SERAFIN. CGD07 called the emergency contact listed in the registration and was advised that the SERAFIN had run aground near the shore of Manati, Cuba. CGD07 passed all of the information to the Cuban Border Guard (CBG), which assumed responsibility for the SAR case. The CBG dispatched a vessel to the SARSAT coordinates and located the SERAFIN with two adults and one child aboard. One adult and the child were taken to shore for the evening while the ship master stayed with the vessel.  
3 SARSAT RESCUES",02/25/2017,PLB,M,PLB (Personal Locator Beacon),21.43,-76.84833333,3,Home Port - Great Britain,"On 25 February 2017 at 0731 UTC (0231 CST) the COSPAS-SARSAT system detected a 406 MHz PLB at 21 25.8N 076 50.9W, in the vicinity of Manati, Cuba. The PLB was activated manually when the sailing vessel SERAFIN became disabled. The Coast Guard District 7 Rescue Coordination Center (CGD07) received the SARSAT alert and notified the Maritime Rescue Coordination Center (MRCC) Falmouth of the PLB location. MRCC Falmouth provided beacon registration corresponding to the British-flagged SERAFIN. CGD07 called the emergency contact listed in the registration and was advised that the SERAFIN had run aground near the shore of Manati, Cuba. CGD07 passed all of the information to the Cuban Border Guard (CBG), which assumed responsibility for the SAR case. The CBG dispatched a vessel to the SARSAT coordinates and located the SERAFIN with two adults and one child aboard. One adult and the child were taken to shore for the evening while the ship master stayed with the vessel.  "
"Home Port - Danvers, MA
On 04 March 2017 at 1734 UTC (1234 EST) the COSPAS-SARSAT system detected a 406 MHz PLB at 45 13.0N 071 14.2W, about 2 NM southwest of Connecticut Lakes State Forest in NH. The PLB was activated when two people became injured in a snowmobiling accident. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the New Hampshire Fish and Game Department, which deployed a rescue team to the site. The injured snowmobilers were transported to a local hospital. 
2 SARSAT RESCUES",03/04/2017,PLB,T,PLB (Personal Locator Beacon),45.21666667,-71.23666667,2,"Home Port - Danvers, MA","On 04 March 2017 at 1734 UTC (1234 EST) the COSPAS-SARSAT system detected a 406 MHz PLB at 45 13.0N 071 14.2W, about 2 NM southwest of Connecticut Lakes State Forest in NH. The PLB was activated when two people became injured in a snowmobiling accident. The Air Force Rescue Coordination Center received the SARSAT alert and contacted the New Hampshire Fish and Game Department, which deployed a rescue team to the site. The injured snowmobilers were transported to a local hospital. "
