Raw Input (OMIT FROM MAP),Date,Type of Beacon,Type of Rescue,Beacon Description,Latitude,Longitude,# Saves,Homeport,Description
"Home Port - Naperville, IL
On 09 January 2021 at 2001 UTC (1501 EST) a Personal Locator Beacon (PLB) was detected at 34 14.8N 112 14.8W, 30 miles northwest of Phoenix, AZ in the Bradshaw Mountains. It was activated after 2 men were mining for gold and 1 slipped and fell down a 20-ft mining shaft. The Air Force Rescue Coordination Center received the alert and contacted the owner, who provided the details of the distress, then called the Yavapai County Sheriff’s Office, which deployed a helicopter and emergency medical units to the scene. The miner was extracted from the shaft and transported to a Phoenix hospital for treatment of multiple injuries. 
1 SARSAT RESCUE
",01/09/2021,PLB,T,PLB (Personal Locator Beacon),34.24666667,-112.2466667,1,"Home Port - Naperville, IL","On 09 January 2021 at 2001 UTC (1501 EST) a Personal Locator Beacon (PLB) was detected at 34 14.8N 112 14.8W, 30 miles northwest of Phoenix, AZ in the Bradshaw Mountains. It was activated after 2 men were mining for gold and 1 slipped and fell down a 20-ft mining shaft. The Air Force Rescue Coordination Center received the alert and contacted the owner, who provided the details of the distress, then called the Yavapai County Sheriff’s Office, which deployed a helicopter and emergency medical units to the scene. The miner was extracted from the shaft and transported to a Phoenix hospital for treatment of multiple injuries. "
"Home Port - Miami, FL
On 12 January 2021 at 2326 UTC (1826 EST) a Personal Locator Beacon (PLB) was detected at 25 11.3N 81 9.3W, 1 NM northwest of Ingraham Lake in Everglades National Park, FL. It was activated when the 25-ft sailing vessel BLUE HERON, with 2 people on board, broke its tiller and lost all electronics due to a storm. Coast Guard District 7 received the alert, issued an Urgent Marine Information Broadcast, launched a helicopter from Air Station Miami, and notified the National Park Service (NPS), which deployed a response boat from Flamingo. NPS arrived on scene, rescued the sailors, and transported them to safety. 
2 SARSAT RESCUES
",01/12/2021,PLB,M,PLB (Personal Locator Beacon),25.18833333,-81.155,2,"Home Port - Miami, FL","On 12 January 2021 at 2326 UTC (1826 EST) a Personal Locator Beacon (PLB) was detected at 25 11.3N 81 9.3W, 1 NM northwest of Ingraham Lake in Everglades National Park, FL. It was activated when the 25-ft sailing vessel BLUE HERON, with 2 people on board, broke its tiller and lost all electronics due to a storm. Coast Guard District 7 received the alert, issued an Urgent Marine Information Broadcast, launched a helicopter from Air Station Miami, and notified the National Park Service (NPS), which deployed a response boat from Flamingo. NPS arrived on scene, rescued the sailors, and transported them to safety. "
"Home Port - Lead, SD
On 18 January 2021 at 1849 UTC (1349 EST) a Personal Locator Beacon (PLB) was detected at 44 20.8N 104 4.6W, 3 miles southwest of Tinton, SD in Crook County, WY. It was activated when a snowmobiler became immobilized in the snow. The Air Force Rescue Coordination Center received the alert and contacted the Wyoming Joint Operations Center, which deployed the Crook County Sheriff's Office to the position. Sheriff's Office personnel arrived on scene and assisted the uninjured snowmobiler. 
1 SARSAT RESCUE
",01/18/2021,PLB,T,PLB (Personal Locator Beacon),44.34666667,-104.0766667,1,"Home Port - Lead, SD","On 18 January 2021 at 1849 UTC (1349 EST) a Personal Locator Beacon (PLB) was detected at 44 20.8N 104 4.6W, 3 miles southwest of Tinton, SD in Crook County, WY. It was activated when a snowmobiler became immobilized in the snow. The Air Force Rescue Coordination Center received the alert and contacted the Wyoming Joint Operations Center, which deployed the Crook County Sheriff's Office to the position. Sheriff's Office personnel arrived on scene and assisted the uninjured snowmobiler. "
"Home Port - Big Water, UT
On 21 January 2021 at 2005 UTC (1505 EST) a Personal Locator Beacon (PLB) was detected at 37 30.4N 111 23.9W, 20 miles southeast of Escalante, UT. It was activated after a hiker became disoriented and got lost. The Air Force Rescue Coordination Center received the alert and contacted the Utah Division of Emergency Management for rescue assistance. Emergency authorities located the hiker and assisted her to her vehicle; no further assistance was needed. 
1 SARSAT RESCUE
",01/21/2021,PLB,T,PLB (Personal Locator Beacon),37.50666667,-111.3983333,1,"Home Port - Big Water, UT","On 21 January 2021 at 2005 UTC (1505 EST) a Personal Locator Beacon (PLB) was detected at 37 30.4N 111 23.9W, 20 miles southeast of Escalante, UT. It was activated after a hiker became disoriented and got lost. The Air Force Rescue Coordination Center received the alert and contacted the Utah Division of Emergency Management for rescue assistance. Emergency authorities located the hiker and assisted her to her vehicle; no further assistance was needed. "
"Home Port - Laramie, WY
On 22 January 2021 at 0044 UTC (1944 EST 21 January) a Personal Locator Beacon (PLB) was detected at 41 14.3N 106 22.1W, 35 miles southwest of Laramie, WY in the Medicine Bow-Routt National Forest. It was activated by 3 snowmobilers who were lost. The Air Force Rescue Coordination Center received the alert and contacted the Wyoming Joint Operations Center, which notified the local sheriff’s office. A ground team was dispatched that located the lost party and assisted them to safety. 
3 SARSAT RESCUES
",01/22/2021,PLB,T,PLB (Personal Locator Beacon),41.23833333,-106.3683333,3,"Home Port - Laramie, WY","On 22 January 2021 at 0044 UTC (1944 EST 21 January) a Personal Locator Beacon (PLB) was detected at 41 14.3N 106 22.1W, 35 miles southwest of Laramie, WY in the Medicine Bow-Routt National Forest. It was activated by 3 snowmobilers who were lost. The Air Force Rescue Coordination Center received the alert and contacted the Wyoming Joint Operations Center, which notified the local sheriff’s office. A ground team was dispatched that located the lost party and assisted them to safety. "
"Home Port - Layton, UT
On 23 January 2021 at 2037 UTC (1537 EST) a Personal Locator Beacon (PLB) was detected at 41 29.7N 111 30.7W, 20 miles southeast of Logan, UT. It was activated after a snowmobile, with 1 person on board, became disabled. The Air Force Rescue Coordination Center received the alert and notified the Utah Division of Emergency Management, which dispatched local law enforcement authorities to the location. The uninjured snowmobiler was transported safely to her origination point. 
1 SARSAT RESCUE
",01/23/2021,PLB,T,PLB (Personal Locator Beacon),41.495,-111.5116667,1,"Home Port - Layton, UT","On 23 January 2021 at 2037 UTC (1537 EST) a Personal Locator Beacon (PLB) was detected at 41 29.7N 111 30.7W, 20 miles southeast of Logan, UT. It was activated after a snowmobile, with 1 person on board, became disabled. The Air Force Rescue Coordination Center received the alert and notified the Utah Division of Emergency Management, which dispatched local law enforcement authorities to the location. The uninjured snowmobiler was transported safely to her origination point. "
"Home Port - Tanzania
On 27 January 2021 at 1808 UTC (1308 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 20 42.8N 74 56.1W, 3 NM north of Moa, Cuba. It was manually activated after a cargo vessel, DORIS T, with 5 people on board, became disabled and began to take on water. Coast Guard District 7 (CGD07) received a report of the distress and a call from a crew member, relayed the contact information they provided to Rescue Coordination Center (RCC) Cuba, and instructed the crew member to activate the EPIRB if the situation worsened. When the EPIRB activation was received, CGD07 provided beacon information to the RCC, which responded to recover the crew. 
5 SARSAT RESCUES
",01/27/2021,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",20.71333333,-74.935,5,Home Port - Tanzania,"On 27 January 2021 at 1808 UTC (1308 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 20 42.8N 74 56.1W, 3 NM north of Moa, Cuba. It was manually activated after a cargo vessel, DORIS T, with 5 people on board, became disabled and began to take on water. Coast Guard District 7 (CGD07) received a report of the distress and a call from a crew member, relayed the contact information they provided to Rescue Coordination Center (RCC) Cuba, and instructed the crew member to activate the EPIRB if the situation worsened. When the EPIRB activation was received, CGD07 provided beacon information to the RCC, which responded to recover the crew. "
"Home Port - Miami Beach, FL
On 28 January 2021 at 0013 UTC (1913 EST 27 January) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 25 35.9N 77 14.3W, 15 NM south of Great Abaco Island, Bahamas. It was manually activated after a pleasure craft, with 2 people on board, became disabled. Coast Guard District 7 received the alert and relayed the coordinates to the Bahamas Coast Guard Liaison Office and the Royal Bahamas Defense Force, which diverted the mail carrier vessel CAPE EXPRESS to the scene. The CAPE EXPRESS was not capable of towing the disabled vessel due to its size, so it assisted the owner with arranging a commercial salvage tow to shore. 
2 SARSAT RESCUES
",01/28/2021,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",25.59833333,-77.23833333,2,"Home Port - Miami Beach, FL","On 28 January 2021 at 0013 UTC (1913 EST 27 January) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 25 35.9N 77 14.3W, 15 NM south of Great Abaco Island, Bahamas. It was manually activated after a pleasure craft, with 2 people on board, became disabled. Coast Guard District 7 received the alert and relayed the coordinates to the Bahamas Coast Guard Liaison Office and the Royal Bahamas Defense Force, which diverted the mail carrier vessel CAPE EXPRESS to the scene. The CAPE EXPRESS was not capable of towing the disabled vessel due to its size, so it assisted the owner with arranging a commercial salvage tow to shore. "
"Home Port - Mount Chase, ME
On 02 February 2021 at 1840 UTC (1340 EST) a Personal Locator Transmitter (PLB) was detected at 46 09.7N 68 30.4W, 4 miles northeast of Shin Pond Village in Mount Chase, ME. It was activated by a snowmobiler after his vehicle got stuck in the snow. The Air Force Rescue Coordination Center received the alert and notified the owner, a snowmobile rental company in Shin Pond Village, which sent a team to assist the uninjured rider and return him to the Village. 
1 SARSAT RESCUE
",02/02/2021,PLB,T,PLB (Personal Locator Beacon),46.16166667,-68.50666667,1,"Home Port - Mount Chase, ME","On 02 February 2021 at 1840 UTC (1340 EST) a Personal Locator Transmitter (PLB) was detected at 46 09.7N 68 30.4W, 4 miles northeast of Shin Pond Village in Mount Chase, ME. It was activated by a snowmobiler after his vehicle got stuck in the snow. The Air Force Rescue Coordination Center received the alert and notified the owner, a snowmobile rental company in Shin Pond Village, which sent a team to assist the uninjured rider and return him to the Village. "
"Home Port - Not Registered
On 02 February 2021 at 2156 UTC (1656 EST) an Emergency Locator Transmitter (ELT) was detected at 42 16.6N 71 57.7W, 1 mile south of Spencer Airport in Spencer, MA. It was activated when an aircraft, with 3 people on board, crashed. The Air Force Rescue Coordination Center received the alert and contacted Boston Air Traffic Control Center personnel, who deployed local first responders to the location. The responders located the plane and transported the passengers to a local hospital for treatment of minor injuries. 
3 SARSAT RESCUES
",02/02/2021,ELT,A,"ELT (Emergency Locator Transmitter, Aviation Applications)",42.27666667,-71.96166667,3,Home Port - Not Registered,"On 02 February 2021 at 2156 UTC (1656 EST) an Emergency Locator Transmitter (ELT) was detected at 42 16.6N 71 57.7W, 1 mile south of Spencer Airport in Spencer, MA. It was activated when an aircraft, with 3 people on board, crashed. The Air Force Rescue Coordination Center received the alert and contacted Boston Air Traffic Control Center personnel, who deployed local first responders to the location. The responders located the plane and transported the passengers to a local hospital for treatment of minor injuries. "
