Raw Input (OMIT FROM MAP),Date,Type of Beacon,Type of Rescue,Beacon Description,Latitude,Longitude,# Saves,Homeport,Description
"Home Port - Aransas Pass, TX
On 02 January 2022 at 0119 UTC (01 Jan 2019 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 26 04.6N 82 19.7W, 29 NM west of Naples, FL. It was activated when the fishing vessel JENNA DAWN, with 2 people on board, experienced an engine room fire. Coast Guard Sector Saint Petersburg received a radio call from the crew reporting the distress and requested the EPIRB activation due to poor communications. Coast Guard District 7 received the alert and launched a helicopter from Air Station Clearwater to the scene, where it found the crew members sitting on the stern of the vessel. The helicopter hoisted them up and transported them to awaiting emergency medical services on shore. 
2 SARSAT RESCUES",01/02/2022,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",26.07666667,-82.32833333,2,"Home Port - Aransas Pass, TX","On 02 January 2022 at 0119 UTC (01 Jan 2019 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 26 04.6N 82 19.7W, 29 NM west of Naples, FL. It was activated when the fishing vessel JENNA DAWN, with 2 people on board, experienced an engine room fire. Coast Guard Sector Saint Petersburg received a radio call from the crew reporting the distress and requested the EPIRB activation due to poor communications. Coast Guard District 7 received the alert and launched a helicopter from Air Station Clearwater to the scene, where it found the crew members sitting on the stern of the vessel. The helicopter hoisted them up and transported them to awaiting emergency medical services on shore. "
"Home Port - Not Registered
On 02 January 2022 at 1741 UTC (1241 EST) an Emergency Locator Transmitter (ELT) was detected at 38 26.4N 108 16.9W, 21 miles southwest of Montrose Regional Airport in Montrose, CO. It activated when an aircraft, with 1 person on board, flipped while attempting an emergency landing. The Air Force Rescue Coordination Center received the alert and contacted Fort Worth Hub authorities, who performed a ramp check and provided the coordinates to the airport’s fire chief. The aircraft was located and the pilot was treated for minor injuries. 
1 SARSAT RESCUE",01/02/2022,ELT,A,"ELT (Emergency Locator Transmitter, Aviation Applications)",38.44,-108.2816667,1,Home Port - Not Registered,"On 02 January 2022 at 1741 UTC (1241 EST) an Emergency Locator Transmitter (ELT) was detected at 38 26.4N 108 16.9W, 21 miles southwest of Montrose Regional Airport in Montrose, CO. It activated when an aircraft, with 1 person on board, flipped while attempting an emergency landing. The Air Force Rescue Coordination Center received the alert and contacted Fort Worth Hub authorities, who performed a ramp check and provided the coordinates to the airport’s fire chief. The aircraft was located and the pilot was treated for minor injuries. "
"Home Port - Barrow, AK
On 05 January 2022 at 2310 UTC (1810 EST) a Personal Locator Beacon (PLB) was detected at 69 51.6N 162 44.8W, 10 miles northeast of Point Lay, AK. It was activated by a snowmobiler when his vehicle broke down. The Alaska Rescue Coordination Center received the alert and contacted North Slope Borough Search and Rescue, which sent a ground team to the position, located the snowmobiler, and transported him to safety. 
1 SARSAT RESCUE",01/05/2022,PLB,T,PLB (Personal Locator Beacon),69.86,-162.7466667,1,"Home Port - Barrow, AK","On 05 January 2022 at 2310 UTC (1810 EST) a Personal Locator Beacon (PLB) was detected at 69 51.6N 162 44.8W, 10 miles northeast of Point Lay, AK. It was activated by a snowmobiler when his vehicle broke down. The Alaska Rescue Coordination Center received the alert and contacted North Slope Borough Search and Rescue, which sent a ground team to the position, located the snowmobiler, and transported him to safety. "
"Home Port - Palmetto, FL
On 20 January 2022 at 0930 UTC (0430 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 29 40.3N 84 50.1W, 27 NM east of Cape San Blas, FL. It was manually activated when the sailing vessel LADY CATHERINE II, with 2 people on board, became disabled due to weather conditions. Prior to receiving the SARSAT alert, Coast Guard District 8 received a radio call from the vessel and advised the crew to activate their EPIRB to assist in vectoring rescue units. A helicopter from Air Station Clearwater arrived at the scene, hoisted the 2 crew members, and transported them to safety. 
2 SARSAT RESCUES",01/20/2022,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",29.67166667,-84.835,2,"Home Port - Palmetto, FL","On 20 January 2022 at 0930 UTC (0430 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 29 40.3N 84 50.1W, 27 NM east of Cape San Blas, FL. It was manually activated when the sailing vessel LADY CATHERINE II, with 2 people on board, became disabled due to weather conditions. Prior to receiving the SARSAT alert, Coast Guard District 8 received a radio call from the vessel and advised the crew to activate their EPIRB to assist in vectoring rescue units. A helicopter from Air Station Clearwater arrived at the scene, hoisted the 2 crew members, and transported them to safety. "
"Home Port - Barrow, AK
On 21 January 2022 at 2019 UTC (1519 EST) a Personal Locator Beacon (PLB) was detected at 70 45.1N 158 21.0W, 40 miles northeast of Wainwright, AK. It was activated by a snowmobiler who was stranded after their vehicle ran out of gas. The Alaska Rescue Coordination Center received the alert and notified North Slope Borough Search and Rescue (SAR), which requested assistance from Wainwright SAR. The snowmobiler was rescued and transported to safety. 
1 SARSAT RESCUE",01/21/2022,PLB,T,PLB (Personal Locator Beacon),70.75166667,-158.35,1,"Home Port - Barrow, AK","On 21 January 2022 at 2019 UTC (1519 EST) a Personal Locator Beacon (PLB) was detected at 70 45.1N 158 21.0W, 40 miles northeast of Wainwright, AK. It was activated by a snowmobiler who was stranded after their vehicle ran out of gas. The Alaska Rescue Coordination Center received the alert and notified North Slope Borough Search and Rescue (SAR), which requested assistance from Wainwright SAR. The snowmobiler was rescued and transported to safety. "
"Home Port - Girdwood, AK
On 23 January 2022 at 0144 UTC (22 Jan 2044 EST) a Personal Locator Beacon (PLB) was detected at 65 22.8N 145 58.0W, 63 miles northeast of Fairbanks, AK. It was activated by a hunting party of 3 after one of their snowmobiles became disabled, stranding them in extreme weather conditions. The Alaska Rescue Coordination Center received the alert and launched rescue assets to the scene. An Army helicopter located and transported the 3 uninjured hunters to Fairbanks Memorial Hospital. 
3 SARSAT RESCUES",01/23/2022,PLB,T,PLB (Personal Locator Beacon),65.38,-145.9666667,3,"Home Port - Girdwood, AK","On 23 January 2022 at 0144 UTC (22 Jan 2044 EST) a Personal Locator Beacon (PLB) was detected at 65 22.8N 145 58.0W, 63 miles northeast of Fairbanks, AK. It was activated by a hunting party of 3 after one of their snowmobiles became disabled, stranding them in extreme weather conditions. The Alaska Rescue Coordination Center received the alert and launched rescue assets to the scene. An Army helicopter located and transported the 3 uninjured hunters to Fairbanks Memorial Hospital. "
"Home Port - France
On 25 January 2022 at 0749 UTC (0249 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 21 33.1N 72 17.4W, 11 NM south of Providenciales, Turks and Caicos Islands (TCI). It was activated after a vessel, with 6 people on board, ran aground. Coast Guard District 7 received the alert, notified TCI authorities, and launched a helicopter to the location. The helicopter arrived and passed a radio to the crew, who were then rescued without injury by TCI authorities. 
6 SARSAT RESCUES",01/25/2022,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",21.55166667,-72.29,6,Home Port - France,"On 25 January 2022 at 0749 UTC (0249 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 21 33.1N 72 17.4W, 11 NM south of Providenciales, Turks and Caicos Islands (TCI). It was activated after a vessel, with 6 people on board, ran aground. Coast Guard District 7 received the alert, notified TCI authorities, and launched a helicopter to the location. The helicopter arrived and passed a radio to the crew, who were then rescued without injury by TCI authorities. "
"Home Port - Grasonville, MD
On 29 January 2022 at 1443 UTC (0943 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 28 06.2N 76 27.2W, 220 NM east of Melbourne, FL. It was activated when the sailing vessel CRITICAL WINDOW, with 2 people on board, became disabled. Coast Guard District 7 received the alert and launched a helicopter from Air Station Clearwater that arrived at the scene, recovered the sailors, and transported them to awaiting medical services in Melbourne. 
2 SARSAT RESCUES",01/29/2022,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",28.10333333,-76.45333333,2,"Home Port - Grasonville, MD","On 29 January 2022 at 1443 UTC (0943 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 28 06.2N 76 27.2W, 220 NM east of Melbourne, FL. It was activated when the sailing vessel CRITICAL WINDOW, with 2 people on board, became disabled. Coast Guard District 7 received the alert and launched a helicopter from Air Station Clearwater that arrived at the scene, recovered the sailors, and transported them to awaiting medical services in Melbourne. "
"Home Port - Picabo, ID
On 30 January 2022 at 2118 UTC (1618 EST) an Emergency Locator Transmitter (ELT) was detected at 43 36.5N 114 26.1W, 4 miles west of Gimlet, ID. It activated when an aircraft, with 1 person on board, lost power and crashed. The Air Force Rescue Coordination Center received the alert and notified the Idaho Search and Rescue Coordinator, who dispatched local emergency responders to the location. The pilot was rescued from the wreckage and transported to a local hospital. 
1 SARSAT RESCUE",01/30/2022,ELT,A,"ELT (Emergency Locator Transmitter, Aviation Applications)",43.60833333,-114.435,1,"Home Port - Picabo, ID","On 30 January 2022 at 2118 UTC (1618 EST) an Emergency Locator Transmitter (ELT) was detected at 43 36.5N 114 26.1W, 4 miles west of Gimlet, ID. It activated when an aircraft, with 1 person on board, lost power and crashed. The Air Force Rescue Coordination Center received the alert and notified the Idaho Search and Rescue Coordinator, who dispatched local emergency responders to the location. The pilot was rescued from the wreckage and transported to a local hospital. "
"Home Port - Reno, NV
On 02 February 2022 at 2329 UTC (1829 EST) a Personal Locator Beacon (PLB) was detected at 39 22.1N 119 53.9W, 11 miles southwest of Reno, NV. It was activated by an injured hiker. The Air Force Rescue Coordination Center received the alert and contacted the owner and the Washoe County Sheriff's Office. Emergency medical services were dispatched to the coordinates, recovered the hiker, and transported him to a local hospital for treatment of minor injuries. 
1 SARSAT RESCUE",02/02/2022,PLB,T,PLB (Personal Locator Beacon),39.36833333,-119.8983333,1,"Home Port - Reno, NV","On 02 February 2022 at 2329 UTC (1829 EST) a Personal Locator Beacon (PLB) was detected at 39 22.1N 119 53.9W, 11 miles southwest of Reno, NV. It was activated by an injured hiker. The Air Force Rescue Coordination Center received the alert and contacted the owner and the Washoe County Sheriff's Office. Emergency medical services were dispatched to the coordinates, recovered the hiker, and transported him to a local hospital for treatment of minor injuries. "
